token,count
в,347
и,171
на,90
с,90
гондураса,71
года,50
по,46
сальвадора,42
из,34
году,34
к,34
грант,29
был,26
июля,26
а,25
что,23
были,23
гондурас,23
за,21
после,20
не,20
правительство,20
он,19
между,19
территории,19
его,18
от,18
о,17
для,17
июня,16
сальвадором,16
сальвадор,16
где,15
место,15
как,14
также,14
же,14
сальвадорцев,14
войны,14
границы,14
англ,13
мира,13
сборной,13
гранта,12
фильмов,12
сальвадорских,12
время,11
х,11
p,11
гондурасом,11
тысяч,11
годов,10
до,10
роль,10
но,10
со,10
армии,10
два,10
странами,10
ввс,10
актёра,9
двух,9
сша,9
стала,9
во,9
фильм,9
a,9
cary,9
grant,9
isbn,9
кинтанилья,9
конкакаф,9
война,9
страны,9
была,8
годы,8
этот,8
их,8
который,8
своей,8
the,8
of,8
чемпионата,8
сборная,8
футболу,8
f,8
районе,8
сил,8
того,7
более,7
том,7
кэри,7
год,7
снялся,7
е,7
участием,7
течение,7
стране,7
фильмы,7
только,7
фильме,7
de,7
при,7
гондурасе,7
граждан,7
действия,7
сальвадорские,7
линии,7
войска,7
которые,6
лет,6
кино,6
оскар,6
истории,6
когда,6
несмотря,6
критиков,6
сыграл,6
роли,6
актёр,6
стал,6
которых,6
матчах,6
двумя,6
этом,6
несколько,6
сальвадорской,6
ходе,6
конфликта,6
около,6
день,6
гондурасских,6
la,6
войск,6
самолёты,6
км,6
стороны,6
история,5
дом,5
котором,5
примечания,5
период,5
пять,5
самых,5
участие,5
у,5
они,5
через,5
ему,5
фильма,5
спустя,5
начала,5
успех,5
раз,5
премию,5
город,5
среди,5
хосе,5
однако,5
три,5
press,5
сальвадорский,5
войне,5
забил,5
футбольная,5
матча,5
было,5
америки,5
земель,5
земли,5
начали,5
военные,5
границе,5
d,5
военно-воздушных,5
оаг,5
пушкина,4
памятник,4
список,4
работы,4
карьеры,4
фильмах,4
свою,4
стэнли,4
американского,4
или,4
начало,4
позже,4
качестве,4
золотой,4
исполнил,4
появился,4
под,4
включая,4
это,4
комедии,4
хепбёрн,4
карьере,4
вместе,4
воспитание,4
крошки,4
картине,4
впервые,4
режиссёра,4
второй,4
карьера,4
северу,4
северо-запад,4
c,4
них,4
американских,4
всех,4
university,4
исп,4
играл,4
часть,4
этапа,4
гол,4
конфликт,4
n,4
футбольных,4
фифа,4
сентябре,4
турнира,4
центральной,4
одной,4
группе,4
чем,4
против,4
дней,4
человек,4
центральноамериканского,4
цаор,4
затем,4
вопрос,4
один,4
отношений,4
обе,4
об,4
ответ,4
самолёт,4
t,4
дня,4
боевые,4
гондурасской,4
u,4
улице,3
уже,3
находится,3
октября,3
входят,3
кинематографе,3
радио,3
участия,3
начал,3
комедийных,3
конце,3
получил,3
сидни,3
донена,3
национальный,3
реестр,3
библиотеки,3
конгресса,3
дважды,3
принимал,3
одного,3
девять,3
зрителей,3
нескольких,3
мюзикле,3
продолжал,3
различных,3
пока,3
из-за,3
своём,3
силы,3
комедия,3
быть,3
предстал,3
кэтрин,3
успешных,3
айрин,3
данн,3
лишь,3
многие,3
него,3
результате,3
годах,3
девушка,3
этой,3
газеты,3
следующие,3
филадельфийская,3
третий,3
мистер,3
популярностью,3
впоследствии,3
дурная,3
слава,3
г,3
другие,3
выйти,3
вора,3
хотя,3
трудности,3
работой,3
которого,3
иностранных,3
самолёта,3
ни,3
этого,3
театр,3
шоу,3
величайших,3
занял,3
источники,3
books,3
позиции,3
гола,3
привёл,3
футбольной,3
которой,3
кубок,3
марте,3
матче,3
чемпионат,3
матч,3
honduras,3
отборочного,3
конфликту,3
стали,3
стран,3
группы,3
гондурасу,3
кубке,3
таким,3
образом,3
soccer,3
заняла,3
две,3
последнее,3
команды,3
января,3
