token,lemma
па,па
мятник,мятник
пу,пу
шкину,шкина
на,на
бауманской,бауманский
улице,улица
в,в
москве,москва
скульптурное,скульптурный
изображение,изображение
бюст,бюст
установленное,установленный
на,на
месте,место
предполагаемого,предполагать
рождения,рождение
русского,русский
поэта,поэт
и,и
писателя,писатель
александра,александр
сергеевича,сергеевич
пушкина,пушкин
история,история
памятник,памятник
был,быть
сооружён,соорудить
вблизи,вблизи
того,тот
места,место
где,где
ранее,ранее
находился,находиться
дом,дом
по,по
немецкой,немецкий
ныне,ныне
бауманская,бауманский
улице,улица
в,в
котором,который
как,как
предполагалось,предполагаться
26,UNK
мая,май
6,UNK
июня,июнь
1799,UNK
года,год
родился,родиться
русский,русский
поэт,поэт
и,и
писатель,писатель
александр,александр
сергеевич,сергеевич
пушкин,пушкин
1799,UNK
1837,UNK
более,более
поздние,поздний
исследования,исследование
проведённые,провести
уже,уже
после,после
установки,установка
памятника,памятник
показывают,показывать
что,что
место,место
рождения,рождение
пушкина,пушкин
скорее,скорее
находится,находиться
на,на
соседней,соседний
малой,малый
почтовой,почтовый
улице,улица
деревянный,деревянный
дом,дом
40,UNK
был,быть
снесён,снести
в,в
советское,советский
время,время
на,на
его,он
месте,место
была,быть
построена,построить
школа,школа
345,UNK
названная,назвать
именем,имя
пушкина,пушкин
памятник,памятник
был,быть
открыт,открыть
31,UNK
октября,октябрь
1967,UNK
года,год
описание,описание
памятник,памятник
был,быть
сооружён,соорудить
по,по
проекту,проект
скульптора,скульптор
екатерины,екатерина
белашовой,белашов
и,и
архитектора,архитектор
ю,ю
о,о
соколова,соколов
скульптурная,скульптурный
композиция,композиция
представляет,представлять
собой,себя
бронзовый,бронзовый
бюст,бюст
установленный,установленный
на,на
высоком,высокий
четырёхгранном,четырёхграть
постаменте,постамент
из,из
полированного,полировать
гранита,гранит
отличие,отличие
памятника,памятник
от,от
многочисленных,многочисленный
других,другой
памятников,памятник
пушкину,пушкин
состоит,состоять
в,в
том,тот
что,что
он,он
изображает,изображать
поэта,поэт
в,в
юном,юный
возрасте,возраст
на,на
стене,стена
соседней,соседний
школы,школа
находится,находиться
мемориальная,мемориальный
доска,доска
из,из
красного,красный
гранита,гранит
с,с
бронзовым,бронзовый
барельефом,барельеф
пушкина,пушкин
созданная,создать
скульптором,скульптор
константином,константин
кошкиным,кошкин
на,на
мемориальной,мемориальный
доске,доска
находится,находиться
следующая,следующий
надпись,надпись
примечания,примечание
в,в
список,список
творческих,творческий
работ,работа
англо-американского,UNK
актёра,актёр
кэри,кэри
гранта,грант
1904,UNK
1986,UNK
входят,входить
работы,работа
в,в
кинематографе,кинематограф
в,в
театре,театр
и,и
на,на
радио,радио
которые,который
охватывают,охватывать
46,UNK
лет,год
его,он
актёрской,актёрский
карьеры,карьера
с,с
1920,UNK
по,по
1966,UNK
год,год
за,за
годы,год
кинокарьеры,кинокарьера
с,с
1932,UNK
по,по
1966,UNK
год,год
он,он
снялся,сняться
в,в
семидесяти,семьдесят
двух,два
полнометражных,полнометражный
фильмах,фильм
начав,начать
свою,свой
актёрскую,актёрский
карьеру,карьера
в,в
1920-е,UNK
годы,год
с,с
участия,участие
в,в
водевилях,водевиль
и,и
на,на
бродвее,бродвей
в,в
1931,UNK
году,год
грант,грант
перебрался,перебраться
в,в
голливуд,голливуд
где,где
он,он
начал,начать
сниматься,сниматься
в,в
небольших,небольшой
ролях,роль
в,в
комедийных,комедийный
фильмах,фильм
и,и
драмах,драма
докодексового,докодексовый
периода,период
в,в
конце,конец
1930-х,UNK
годов,год
он,он
получил,получить
широкую,широкий
известность,известность
благодаря,благодаря
участию,участие
в,в
бурлескных,бурлескный
и,и
романтических,романтический
комедиях,комедия
в,в
период,период
с,с
1940-х,UNK
годов,год
до,до
