token,lemma
па́мятник,UNK
пу́шкину,UNK
на,на
бауманской,бауманский
улице,улица
в,в
москве,москва
—,UNK
скульптурное,скульптурный
изображение,изображение
(,UNK
бюст,бюст
),UNK
",",UNK
установленное,установить
на,на
месте,место
предполагаемого,предполагать
рождения,рождение
русского,русский
поэта,поэт
и,и
писателя,писатель
александра,александр
сергеевича,сергеевич
пушкина,пушкино
.,UNK
=,UNK
=,UNK
история,история
=,UNK
=,UNK
памятник,памятник
был,быть
сооружён,соорудить
вблизи,вблизи
того,тот
места,место
",",UNK
где,где
ранее,ранее
находился,находиться
дом,дом
по,по
немецкой,немецкий
(,UNK
ныне,ныне
—,UNK
бауманская,бауманский
),UNK
улице,улица
",",UNK
в,в
котором,который
",",UNK
как,как
предполагалось,предполагаться
",",UNK
26,UNK
мая,май
(,UNK
6,UNK
июня,июнь
),UNK
1799,UNK
года,год
родился,родиться
русский,русский
поэт,поэт
и,и
писатель,писатель
александр,александр
сергеевич,сергеевич
пушкин,пушкин
(,UNK
1799—1837,UNK
),UNK
.,UNK
более,более
поздние,поздний
исследования,исследование
",",UNK
проведённые,провести
уже,уже
после,после
установки,установка
памятника,памятник
",",UNK
показывают,показывать
",",UNK
что,что
место,место
рождения,рождение
пушкина,пушкин
скорее,скорый
находится,находиться
на,на
соседней,соседний
малой,малый
почтовой,почтовый
улице,улица
.,UNK
деревянный,деревянный
дом,дом
№,UNK
40,UNK
был,быть
снесён,снести
в,в
советское,советский
время,время
",",UNK
на,на
его,его
месте,место
была,быть
построена,построить
школа,школа
№,UNK
345,UNK
",",UNK
названная,назвать
именем,имя
пушкина,пушкино
.,UNK
памятник,памятник
был,быть
открыт,открыть
31,UNK
октября,октябрь
1967,UNK
года,год
.,UNK
=,UNK
=,UNK
описание,описание
=,UNK
=,UNK
памятник,памятник
был,быть
сооружён,соорудить
по,по
проекту,проект
скульптора,скульптор
екатерины,екатерина
белашовой,белашов
и,и
архитектора,архитектор
ю,ю
.,UNK
о,о
.,UNK
соколова,соколов
.,UNK
скульптурная,скульптурный
композиция,композиция
представляет,представлять
собой,себя
бронзовый,бронзовый
бюст,бюст
",",UNK
установленный,установить
на,на
высоком,высокий
четырёхгранном,четырехгранный
постаменте,постамент
из,из
полированного,полировать
гранита,гранит
.,UNK
отличие,отличие
памятника,памятник
от,от
многочисленных,многочисленный
других,другой
памятников,памятник
пушкину,пушкин
состоит,состоять
в,в
том,тот
",",UNK
что,что
он,он
изображает,изображать
поэта,поэт
в,в
юном,юный
возрасте,возраст
.,UNK
на,на
стене,стена
соседней,соседний
школы,школа
находится,находиться
мемориальная,мемориальный
доска,доска
из,из
красного,красный
гранита,гранит
с,с
бронзовым,бронзовый
барельефом,барельеф
пушкина,пушкин
",",UNK
созданная,создать
скульптором,скульптор
константином,константин
кошкиным,кошкин
.,UNK
на,на
мемориальной,мемориальный
доске,доска
находится,находиться
следующая,следующий
надпись,надпись
:,UNK
=,UNK
=,UNK
примечания,примечание
=,UNK
=,UNK
в,в
список,список
творческих,творческий
работ,работа
англо-американского,UNK
актёра,актер
кэри,кэри
гранта,грант
(,UNK
1904—1986,UNK
),UNK
входят,входить
работы,работа
в,в
кинематографе,кинематограф
",",UNK
в,в
театре,театр
и,и
на,на
радио,радио
",",UNK
которые,который
охватывают,охватывать
46,UNK
лет,год
его,его
актёрской,актерский
карьеры,карьера
(,UNK
с,с
1920,UNK
по,по
1966,UNK
год,год
),UNK
.,UNK
за,за
годы,год
кинокарьеры,кинокарьера
с,с
1932,UNK
по,по
1966,UNK
год,год
он,он
снялся,сняться
в,в
семидесяти,семьдесят
двух,два
полнометражных,полнометражный
фильмах,фильм
.,UNK
начав,начать
свою,свой
актёрскую,актерский
карьеру,карьера
в,в
1920-е,UNK
годы,год
с,с
участия,участие
в,в
водевилях,водевиль
и,и
на,на
бродвее,бродвей
",",UNK
в,в
1931,UNK
году,год
грант,грант
перебрался,перебраться
в,в
голливуд,голливуд
",",UNK
где,где
он,он
начал,начать
сниматься,сниматься
в,в
небольших,небольшой
ролях,роль
в,в
комедийных,комедийный
фильмах,фильм
и,и
драмах,драма
докодексового,докодексовый
периода,период
.,UNK
в,в
конце,конец
1930-х,UNK
годов,год
он,он
получил,получить
широкую,широкий
известность,известность
благодаря,благодаря
участию,участие
в,в
бурлескных,бурлескный
и,и
романтических,романтический
комедиях,комедия
.,UNK
в,в
период,период
с,с
1940-х,UNK
годов,год
до,до
середины,середина
1960-х,UNK
годов,год
",",UNK
грант,грант
активно,активно
снимался,сниматься
в,в
кино,кино
",",UNK
преимущественно,преимущественно
в,в
фильмах,фильм
альфреда,альфред
хичкока,хичкок
",",UNK
говарда,говард
хоукса,хоукса
",",UNK
сидни,сидень
шелдон,шелдон
и,и
стэнли,стэнли
донена,донен
.,UNK
ряд,ряд
кинокартин,кинокартина
с,с
участием,участие
актёра,актер
являются,являться
классикой,классика
американского,американский
кино,кино
",",UNK
а,а
десять,десять
фильмов,фильм
были,быть
внесены,внести
в,в
национальный,национальный
реестр,реестр
фильмов,фильм
библиотеки,библиотека
конгресса,конгресс
",",UNK
представляющих,представлять
культурное,культурный
",",UNK
историческое,исторический
или,или
эстетическое,эстетический
значение,значение
.,UNK
за,за
свою,свой
кинокарьеру,кинокарьера
грант,грант
дважды,дважды
был,быть
номинирован,номинировать
на,на
кинопремию,кинопремия
«,UNK
оскар,оскар
»,UNK
и,и
на,на
пять,пять
премий,премия
«,UNK
золотого,золотой
глобуса,глобус
»,UNK
",",UNK
а,а
также,также
считается,считаться
одним,один
из,из
самых,самый
выдающихся,выдающийся
актёров,актер
в,в
истории,история
американского,американский
кинематографа,кинематограф
и,и
«,UNK
золотого,золотой
века,век
»,UNK
голливуда,голливуд
.,UNK
=,UNK
=,UNK
начало,начало
карьеры,карьера
в,в
театре,театр
и,и
в,в
кино,кино
=,UNK
=,UNK
свой,свой
творческий,творческий
путь,путь
уроженец,уроженец
бристоля,бристоль
арчибальд,арчибальд
алек,алек
лич,лич
(,UNK
позже,поздний
сменивший,сменить
имя,имя
на,на
кэри,кэри
грант,грант
),UNK
начал,начать
в,в
подростковом,подростковый
возрасте,возраст
",",UNK
когда,когда
он,он
присоединился,присоединиться
к,к
водевильной,водевильный
труппе,труппа
боба,боб
пендера,пендер
.,UNK
в,в
труппе,труппа
его,он
обучали,обучать
акробатическим,акробатический
трюкам,трюк
",",UNK
хождению,хождение
на,на
ходулях,ходуля
и,и
пантомиме,пантомима
",",UNK
а,а
позже,поздний
выступал,выступать
с,с
ней,она
в,в
провинциальных,провинциальный
городах,город
англии,англии
.,UNK
в,в
1920,UNK
году,год
труппа,труппа
отправилась,отправиться
в,в
гастрольный,гастрольный
тур,тур
по,по
сша,сша
",",UNK
где,где
юный,юный
грант,грант
принимал,принимать
участие,участие
в,в
ревю,ревю
«,UNK
хорошие,хороший
времена,время
»,UNK
в,в
качестве,качество
одного,один
из,из
ходоков,ходок
на,на
ходулях,ходуля
.,UNK
постановка,постановка
длилась,длиться
девять,девять
месяцев,месяц
и,и
пользовалась,пользоваться
успехом,успех
у,у
зрителей,зритель
.,UNK
после,после
окончания,окончание
тура,тур
грант,грант
остался,остаться
в,в
сша,сша
и,и
в,в
течение,течение
нескольких,несколько
лет,год
гастролировал,гастролировать
по,по
стране,страна
с,с
акробатическими,акробатический
номерами,номер
.,UNK
в,в
1927,UNK
году,год
он,он
дебютировал,дебютировать
в,в
бродвейском,бродвейский
комедийном,комедийный
мюзикле,мюзикл
реджи,реджи
хаммерштейна,хаммерштейн
«,UNK
золотой,золотой
рассвет,рассвет
»,UNK
.,UNK
несмотря,несмотря
на,на
неоднозначную,неоднозначный
реакцию,реакция
критиков,критик
на,на
постановку,постановка
",",UNK
они,они
высоко,высоко
оценили,оценить
игру,игра
гранта,грант
",",UNK
назвав,назвать
его,он
«,UNK
компетентным,компетентный
молодым,молодой
новичком,новичок
»,UNK
.,UNK
в,в
1928,UNK
году,год
он,он
исполнил,исполнить
роль,роль
рекса,рекс
вана,ван
зиле,зиля
в,в
постановке,постановка
хаммерштейна,хаммерштейн
«,UNK
полли,полли
»,UNK
",",UNK
а,а
через,через
год,год
появился,появиться
с,с
небольшой,небольшой
ролью,роль
в,в
мюзикле,мюзикл
«,UNK
бум-бум,UNK
»,UNK
под,под
руководством,руководство
братьев,брат
шуберт,шуберт
.,UNK
с,с
1929,UNK
по,по
1931,UNK
год,год
грант,грант
продолжал,продолжать
выступать,выступать
в,в
различных,различный
театральных,театральный
постановках,постановка
братьев,брат
шуберт,шуберт
",",UNK
включая,включая
«,UNK
