lemma,freq
UNK,459
в,356
и,171
год,119
гондурас,115
с,100
на,90
сальвадор,78
быть,67
по,46
он,46
фильм,46
грант,43
сальвадорский,37
который,36
из,34
к,34
страна,32
война,30
два,28
июль,26
а,25
что,24
сборная,24
правительство,24
они,22
о,21
за,21
стать,21
место,20
после,20
свой,20
роль,20
не,20
территория,20
июнь,19
матч,19
между,19
граница,19
от,18
актёр,18
участие,17
для,17
тот,16
один,16
сальвадорец,16
где,15
этот,15
самолёт,15
футбольный,15
гондурасский,15
войско,15
как,14
время,14
карьера,14
также,14
это,14
же,14
чемпионат,14
мир,14
конфликт,14
день,14
армия,13
военный,13
англ,13
история,12
сила,12
тысяча,12
начать,11
начало,11
город,11
турнир,11
вооружённый,11
футбол,11
земля,11
гражданин,11
до,10
но,10
кинтанилья,10
район,10
действие,10
ввс,10
работа,9
сняться,9
получить,9
американский,9
сша,9
несколько,9
cary,9
grant,9
p,9
isbn,9
конкакаф,9
оба,9
сторона,9
отношение,9
поздний,8
следующий,8
комедия,8
успех,8
сыграть,8
выйти,8
картина,8
такой,8
первый,8
весь,8
последний,8
группа,8
три,8
занять,8
the,8
of,8
экономический,8
линия,8
памятник,7
более,7
кэри,7
актёрский,7
премия,7
самый,7
течение,7
критик,7
только,7
человек,7
иметь,7
второй,7
a,7
позиция,7
гол,7
кубок,7
забить,7
de,7
при,7
заявить,7
боевой,7
пушкин,6
находиться,6
провести,6
высокий,6
другой,6
список,6
театр,6
период,6
романтический,6
кино,6
национальный,6
оскар,6
золотой,6
когда,6
хороший,6
несмотря,6
принять,6
результат,6
образ,6
часть,6
начаться,6
команда,6
америка,6
финальный,6
центральноамериканский,6
столкновение,6
ход,6
около,6
прекращение,6
la,6
истребитель,6
км,6
бой,6
дом,5
проект,5
примечание,5
кинематограф,5
драма,5
хичкок,5
являться,5
пять,5
она,5
у,5
через,5
различный,5
съёмка,5
спустя,5
раз,5
режиссёр,5
сам,5
участвовать,5
среди,5
значительный,5
хосе,5
однако,5
состав,5
составить,5
press,5
привести,5
этап,5
сентябрь,5
отборочный,5
январь,5
продолжаться,5
общий,5
четыре,5
дополнительный,5
соглашение,5
положение,5
земельный,5
произойти,5
президент,5
воздушный,5
сбить,5
оаг,5
улица,4
октябрь,4
представлять,4
себя,4
входить,4
кинокарьера,4
голливуд,4
комедийный,4
широкий,4
стэнли,4
внести,4
или,4
выступать,4
качество,4
постановка,4
девять,4
пользоваться,4
игра,4
исполнить,4
появиться,4
под,4
продолжать,4
включая,4
трудность,4
предложить,4
подписать,4
контракт,4
мелодрама,4
мирный,4
хепбёрн,4
успешный,4
вместе,4
воспитание,4
крошка,4
публика,4
популярность,4
акцент,4
девушка,4
газета,4
большой,4
третий,4
номинация,4
впервые,4
половина,4
должный,4
север,4
иностранный,4
известный,4
источник,4
university,4
исп,4
играть,4
чемпион,4
погибнуть,4
достижение,4
фифа,4
обыграть,4
северный,4
центральный,4
чем,4
против,4
развитой,4
договор,4
цаор,4
затем,4
вопрос,4
населить,4
собственность,4
мигрант,4
пункт,4
занятой,4
тегусигальпа,4
нападение,4
ответ,4
выступить,4
разместить,4
приграничный,4
вылететь,4
огонь,4
столица,4
час,4
безопасность,4
рождение,3
русский,3
поэт,3
май,3
уже,3
соседний,3
малый,3
назвать,3
бронзовый,3
радио,3
конец,3
известность,3
альфред,3
сидень,3
донить,3
реестр,3
библиотека,3
конгресс,3
дважды,3
присоединиться,3
труппа,3
отправиться,3
принимать,3
месяц,3
зритель,3
номер,3
мюзикл,3
пока,3
решить,3
принести,3
предстать,3
кэтрин,3
срок,3
заключить,3
правда,3
айрин,3
данна,3
лишь,3
приобрести,3
многие,3
попытка,3
рабочий,3
филадельфийский,3
пригласить,3
триллер,3
начинать,3
друг,3
герой,3
критика,3
мистер,3
впоследствии,3
дурной,3
слава,3
г,3
дальнейший,3
вор,3
хотя,3
больший,3
операция,3
ни,3
бежать,3
уйти,3
документальный,3
короткометражный,3
шоу,3
великий,3
журнал,3
шесть,3
books,3
ссылка,3
сайт,3
участник,3
победный,3
альянс,3
титул,3
март,3
жизнь,3
поражение,3
счёт,3
мексика,3
honduras,3
международный,3
организация,3
федерация,3
мочь,3
призёр,3
soccer,3
проиграть,3
мяч,3
установить,3
guerra,3
рынок,3
причина,3
кроме,3
оказаться,3
предоставить,3
экономика,3
декабрь,3
задолженность,3
ещё,3
проблема,3
поселенец,3
испытывать,3
землевладелец,3
рост,3
гвардия,3
инцидент,3
реформа,3
население,3
объявить,3
протест,3
проживать,3
апрель,3
дать,3
дело,3
заявление,3
дипломатический,3
жертва,3
транспортный,3
артиллерия,3
командование,3
подразделение,3
наступление,3
батальон,3
цель,3
бомбить,3
департамент,3
зона,3
гарантия,3
предложение,3
согласиться,3
решение,3
убитый,3
оон,3
el,3
переоборудовать,3
and,3
war,3
бауманский,2
скульптурный,2
изображение,2
бюст,2
установленный,2
писатель,2
александр,2
сергеевич,2
соорудить,2
ранее,2
ныне,2
школа,2
имя,2
открыть,2
скульптор,2
гранит,2
многочисленный,2
юный,2
возраст,2
мемориальный,2
доска,2
создать,2
творческий,2
полнометражный,2
сниматься,2
небольшой,2
благодаря,2
преимущественно,2
говард,2
хоукса,2
шелдон,2
ряд,2
кинокартина,2
десять,2
исторический,2
номинировать,2
глобус,2
выдающийся,2
век,2
арчибальд,2
алек,2
акробатический,2
ходуля,2
тур,2
остаться,2
хаммерштейн,2
высоко,2
оценить,2
молодой,2
брат,2
шуберт,2
театральный,2
уильям,2
киноиндустрия,2
paramount,2
выбрать,2
ночь,2
глубина,2
сильвия,2
провальный,2
плохой,2
приключенческий,2
крыло,2
коммерческий,2
план,2
совместный,2
columbia,2
позволить,2
вскоре,2
знаковый,2
топпер,2
ужасный,2
кинолента,2
отзыв,2
культовый,2
статус,2
британский,2
пилот,2
обладать,2
уникальный,2
общество,2
пятница,2
стремиться,2
вернуть,2
бывший,2
супруг,2
стюарт,2
роджер,2
партнёрша,2
подозрение,2
сотрудничество,2
потом,2
её,2
разный,2
оценка,2
фрэнк,2
мышьяк,2
старый,2
кружево,2
одноимённый,2
прокат,2
вновь,2
главный,2
бергман,2
агент,2
шпион,2
так,2
блэндингз,2
строить,2
мечта,2
каждый,2
солдат,2
юбка,2
капитан,2
кризис,2
поймать,2
попасть,2
процесс,2
критический,2
незабываемый,2
роман,2
последующий,2
сэр,2
четвёртый,2
наиболее,2
